id,biomarker_id,phenotype_id,relationship_type,evidence_strength,created_at,notes
BPE-00048,BIO-0135,PHE-0003,supports,0.40,2026-04-30T14:23:27.613008+00:00,Thyroid antibodies (TPO + Tg) supports PHE-0003
BPE-00049,BIO-0036,PHE-0004,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,Arabinose stratifies PHE-0004
BPE-00050,BIO-0037,PHE-0004,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,HPHPA (3-(3-hydroxyphenyl)-3-hydroxypropionic acid) stratifies PHE-0004
BPE-00051,BIO-0038,PHE-0004,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,4-cresol (p-cresol) stratifies PHE-0004
BPE-00052,BIO-0039,PHE-0004,supports,0.45,2026-04-30T14:23:27.613008+00:00,Tartaric acid supports PHE-0004
BPE-00053,BIO-0040,PHE-0004,supports,0.45,2026-04-30T14:23:27.613008+00:00,Citramalic acid supports PHE-0004
BPE-00054,BIO-0041,PHE-0004,supports,0.40,2026-04-30T14:23:27.613008+00:00,Indican supports PHE-0004
BPE-00055,BIO-0042,PHE-0004,supports,0.45,2026-04-30T14:23:27.613008+00:00,Hippuric acid supports PHE-0004
BPE-00056,BIO-0043,PHE-0004,supports,0.40,2026-04-30T14:23:27.613008+00:00,Indol-3-acetic acid (IAA) supports PHE-0004
BPE-00057,BIO-0044,PHE-0004,supports,0.40,2026-04-30T14:23:27.613008+00:00,"3,4-dihydroxyphenylpropionic acid (DHPPA) supports PHE-0004"
BPE-00058,BIO-0045,PHE-0004,supports,0.40,2026-04-30T14:23:27.613008+00:00,3-Hydroxy-2-methylbutyric acid supports PHE-0004
BPE-00059,BIO-0049,PHE-0004,supports,0.45,2026-04-30T14:23:27.613008+00:00,Quinolinic acid supports PHE-0004
BPE-00060,BIO-0050,PHE-0004,supports,0.45,2026-04-30T14:23:27.613008+00:00,Kynurenic acid supports PHE-0004
BPE-00061,BIO-0051,PHE-0004,supports,0.50,2026-04-30T14:23:27.613008+00:00,Kynurenine/tryptophan ratio supports PHE-0004
BPE-00062,BIO-0109,PHE-0004,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,Zonulin stratifies PHE-0004
BPE-00063,BIO-0110,PHE-0004,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,Lipopolysaccharide (LPS) / endotoxin stratifies PHE-0004
BPE-00064,BIO-0111,PHE-0004,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,Calprotectin (fecal) stratifies PHE-0004
BPE-00065,BIO-0112,PHE-0004,stratifies,0.50,2026-04-30T14:23:27.613008+00:00,Secretory IgA (sIgA) stratifies PHE-0004
BPE-00066,BIO-0113,PHE-0004,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,Lactulose:mannitol ratio stratifies PHE-0004
BPE-00067,BIO-0131,PHE-0004,supports,0.45,2026-04-30T14:23:27.613008+00:00,C. difficile toxin (stool) supports PHE-0004
BPE-00068,BIO-0132,PHE-0004,supports,0.45,2026-04-30T14:23:27.613008+00:00,Candida IgG + IgA supports PHE-0004
BPE-00069,BIO-0167,PHE-0004,modifies_risk,0.40,2026-04-30T14:23:27.613008+00:00,FUT2 secretor status genotype modifies_risk PHE-0004
BPE-00070,BIO-0178,PHE-0004,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,Comprehensive Stool Analysis (GI-MAP / CDSA composite) stratifies PHE-0004
BPE-00071,BIO-0137,PHE-0005,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,MRI cortical thickness (region-specific) stratifies PHE-0005
BPE-00072,BIO-0138,PHE-0005,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,Total brain volume / amygdala / cerebellar vermis volumetry stratifies PHE-0005
BPE-00073,BIO-0139,PHE-0005,supports,0.50,2026-04-30T14:23:27.613008+00:00,DTI fractional anisotropy (white matter tracts) supports PHE-0005
BPE-00074,BIO-0140,PHE-0005,supports,0.50,2026-04-30T14:23:27.613008+00:00,Resting-state fMRI default mode network connectivity supports PHE-0005
BPE-00075,BIO-0141,PHE-0005,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,1H-MRS NAA / choline / creatine / glutamate-GABA stratifies PHE-0005
BPE-00076,BIO-0143,PHE-0005,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,EEG resting-state spectral power (gamma/beta/alpha) stratifies PHE-0005
BPE-00077,BIO-0144,PHE-0005,supports,0.40,2026-04-30T14:23:27.613008+00:00,ERP P300 amplitude / latency supports PHE-0005
BPE-00078,BIO-0137,PHE-0006,supports,0.45,2026-04-30T14:23:27.613008+00:00,MRI cortical thickness (region-specific) supports PHE-0006
BPE-00079,BIO-0138,PHE-0006,supports,0.50,2026-04-30T14:23:27.613008+00:00,Total brain volume / amygdala / cerebellar vermis volumetry supports PHE-0006
BPE-00080,BIO-0141,PHE-0006,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,1H-MRS NAA / choline / creatine / glutamate-GABA stratifies PHE-0006
BPE-00081,BIO-0143,PHE-0006,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,EEG resting-state spectral power (gamma/beta/alpha) stratifies PHE-0006
BPE-00082,BIO-0144,PHE-0006,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,ERP P300 amplitude / latency stratifies PHE-0006
BPE-00083,BIO-0145,PHE-0006,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,ERP MMN (mismatch negativity) stratifies PHE-0006
BPE-00084,BIO-0146,PHE-0006,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,ERP N170 (face processing) stratifies PHE-0006
BPE-00085,BIO-0147,PHE-0006,supports,0.50,2026-04-30T14:23:27.613008+00:00,qEEG coherence pattern supports PHE-0006
BPE-00086,BIO-0149,PHE-0006,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,Pupillometry / pupil response stratifies PHE-0006
BPE-00087,BIO-0150,PHE-0006,supports,0.45,2026-04-30T14:23:27.613008+00:00,Heart rate variability (HRV) supports PHE-0006
BPE-00088,BIO-0153,PHE-0006,supports,0.45,2026-04-30T14:23:27.613008+00:00,Serum BDNF (brain-derived neurotrophic factor) supports PHE-0006
BPE-00089,BIO-0013,PHE-0007,supports,0.45,2026-04-30T14:23:27.613008+00:00,Pyridoxal-5-phosphate (P5P / active B6) supports PHE-0007
BPE-00090,BIO-0141,PHE-0007,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,1H-MRS NAA / choline / creatine / glutamate-GABA stratifies PHE-0007
BPE-00091,BIO-0143,PHE-0007,stratifies,0.65,2026-04-30T14:23:27.613008+00:00,EEG resting-state spectral power (gamma/beta/alpha) stratifies PHE-0007
BPE-00092,BIO-0145,PHE-0007,stratifies,0.60,2026-04-30T14:23:27.613008+00:00,ERP MMN (mismatch negativity) stratifies PHE-0007
BPE-00093,BIO-0147,PHE-0007,stratifies,0.55,2026-04-30T14:23:27.613008+00:00,qEEG coherence pattern stratifies PHE-0007
BPE-00094,BIO-0149,PHE-0007,supports,0.50,2026-04-30T14:23:27.613008+00:00,Pupillometry / pupil response supports PHE-0007
BPE-00095,BIO-0150,PHE-0007,supports,0.45,2026-04-30T14:23:27.613008+00:00,Heart rate variability (HRV) supports PHE-0007
BPE-00096,BIO-0174,PHE-0007,supports,0.45,2026-04-30T14:23:27.613008+00:00,Anti-GAD65 antibodies supports PHE-0007
