id,drug_or_intervention_id,drug_class,gene,variant_phenotype_class,variant_definition_summary,recommendation_modifier,log_odds_efficacy_modifier,log_odds_adverse_event_modifier,primary_pmid,countervailing_evidence_pmids,evidence_balance,autism_relevance,status,created_at,notes
PGX-0012,codeine,opioid,CYP2D6,poor_metabolizer,0 functional alleles,alternative_drug,-1.2,0.0,33387367,,1,same caveat,active,2026-04-30,Crews 2021 CPIC. CYP2D6 PM + codeine = no analgesic effect; alternative needed.
PGX-0013,tramadol,opioid,CYP2D6,ultrarapid_metabolizer,≥3 functional alleles,contraindicated,0.0,1.2,33387367,,1,post-surgical,active,2026-04-30,Crews 2021 CPIC. Tramadol like codeine — UM → respiratory depression risk.
PGX-0014,opioid_general,opioid,OPRM1,rs1799971_AG_or_GG,OPRM1 A118G (Asn40Asp); G allele,use_with_caution_dose_optimization,-0.2,0.0,33387367,,1,opioid response / addiction risk modifier,active,2026-04-30,Crews 2021 CPIC. OPRM1 A118G G allele → reduced opioid response per some studies; CPIC level-of-evidence moderate.
PGX-0015,opioid_general,opioid,COMT,rs4680_VV_homozygous,COMT V158V (high-activity homozygous),use_with_caution_dose_optimization,-0.2,0.0,33387367,,1,COMT V/V → increased pain sensitivity / reduced opioid response,active,2026-04-30,Crews 2021 CPIC. COMT V/V (high enzyme activity) → reduced central pain modulation.
PGX-0016,simvastatin,statin,SLCO1B1,rs4149056_CC_decreased_function,SLCO1B1 *5 / rs4149056 C/C homozygous,dose_reduce_or_alternative_statin,0.0,0.7,35152405,,1,statins occasionally used in autism comorbid hypercholesterolemia; SLCO1B1 myopathy risk,active,2026-04-30,Cooper-DeHoff 2022 CPIC. SLCO1B1 *5/*5 + simvastatin → high myopathy risk; alternative recommended.
PGX-0017,carbamazepine,anticonvulsant,HLA-B,HLA-B*15:02_positive,at least one HLA-B*15:02 allele,contraindicated,0.0,2.5,29392710,,1,carbamazepine for autism comorbid epilepsy / mood; HLA-B*15:02 raises Stevens-Johnson syndrome risk substantially in Asian ancestry populations,active,2026-04-30,Phillips 2018 CPIC HLA. HLA-B*15:02 + carbamazepine = AVOID; SJS/TEN risk especially Asian populations.
PGX-0018,phenytoin,anticonvulsant,HLA-B,HLA-B*15:02_positive,at least one HLA-B*15:02 allele,contraindicated,0.0,1.8,29392710,,1,phenytoin for autism comorbid epilepsy,active,2026-04-30,Phillips 2018 CPIC. HLA-B*15:02 + phenytoin = AVOID. SJS/TEN risk.
PGX-0019,oxcarbazepine,anticonvulsant,HLA-B,HLA-B*15:02_positive,at least one HLA-B*15:02 allele,alternative_drug,0.0,1.2,29392710,,1,oxcarbazepine cross-reactivity risk for SJS in HLA-B*15:02,active,2026-04-30,Phillips 2018 CPIC. HLA-B*15:02 + oxcarbazepine = elevated SJS risk; alternative.
PGX-0020,methylfolate_high_dose,methyl_donor_supplement,MTHFR,rs1801133_TT_homozygous,MTHFR C677T T/T (~30% reduced enzyme activity),alternative_form_preferred_methylfolate_over_folic_acid,0.4,0.0,15585776,,1,MTHFR T/T cannot fully reduce folic acid; methylfolate (5-MTHF) bypasses,active,2026-04-30,James 2004 Am J Clin Nutr — methylation cycle in autism. Mechanistic basis (not formal CPIC) for using 5-MTHF over folic acid in MTHFR-impaired children. Confidence MODERATE.
PGX-0021,methylfolate_high_dose,methyl_donor_supplement,COMT,rs4680_MM_homozygous,"COMT V158M M/M (low enzyme activity, overmethylator-leaning)",use_with_caution_low_dose_titrate,-0.2,0.3,15585776,,1,COMT M/M overmethylators may experience paradoxical agitation/anxiety with high-dose methylfolate,active,2026-04-30,"James 2004 framework. COMT M/M slow methyl-clearance + high methylfolate = methyl-trap symptoms (agitation, anxiety, insomnia). Walsh framework calls these ""overmethylators."" Confidence MODERATE; mechanistic + clinical observation, not RCT."
PGX-0022,methyl_b12_high_dose,methyl_donor_supplement,COMT,rs4680_MM_homozygous,COMT V158M M/M,use_with_caution_low_dose_titrate,-0.2,0.3,15585776,,1,same as PGX-0021 — COMT M/M caution with methyl-B12,active,2026-04-30,Same Walsh-framework mechanistic basis as methylfolate. Hydroxocobalamin is alternative B12 form for COMT M/M.
PGX-0023,methyl_b12_high_dose,methyl_donor_supplement,MTRR,rs1801394_AA_homozygous_wild_type,MTRR A66G A/A (full activity; G/G slows methionine cycle regen),standard_dose_for_AA_higher_for_GG,0.0,0.0,15585776,,1,MTRR variants modulate B12-dependent methionine cycle regeneration,active,2026-04-30,"James 2004. MTRR G/G reduces methionine synthase reactivation, increases B12 demand for methylation cycle."
PGX-0024,5_fluorouracil,chemotherapeutic,DPYD,poor_metabolizer,DPYD *2A or other null allele homozygous,contraindicated,0.0,2.0,29152729,,1,rare; for autism + comorbid cancer treatment context,active,2026-04-30,Amstutz 2018 CPIC DPYD. DPYD PM + 5-FU = severe/lethal toxicity; AVOID.
PGX-0025,azathioprine_6mp,thiopurine,TPMT,poor_metabolizer,TPMT *2/*3A/*3B/*3C homozygous or compound,dose_reduce_90pct_or_alternative,0.0,1.8,30447069,,1,thiopurines for autism comorbid IBD or autoimmune disease,active,2026-04-30,Relling 2019 CPIC. TPMT PM + azathioprine = severe myelosuppression; 90% dose reduce or alternative.
PGX-0026,clopidogrel,antiplatelet,CYP2C19,poor_metabolizer,0 functional alleles,alternative_antiplatelet,-1.5,0.0,35034351,,1,rare autism context; for adult autism + cardiovascular,active,2026-04-30,Lee 2022 CPIC. CYP2C19 PM + clopidogrel = no antiplatelet effect; use alternative.
PGX-0027,warfarin,anticoagulant,CYP2C9,poor_metabolizer,CYP2C9 *2/*3 carriers,dose_reduce_or_alternative_DOAC,0.0,0.8,28198005,,1,rare context,active,2026-04-30,Johnson 2017 CPIC. CYP2C9 PM + warfarin = bleeding risk; dose adjust or DOAC.
PGX-0028,tacrolimus,immunosuppressant,CYP3A5,extensive_metabolizer,CYP3A5*1 carriers (expressers),dose_increase_50pct,-0.4,0.0,25801146,,1,rare — for autism + organ transplant comorbidity,active,2026-04-30,Birdwell 2015 CPIC. CYP3A5*1 expressers need ~1.5x standard tacrolimus dose for therapeutic levels.
PGX-0029,abacavir,antiretroviral,HLA-B,HLA-B*57:01_positive,at least one HLA-B*57:01 allele,contraindicated,0.0,2.2,24561393,,1,rare context,active,2026-04-30,Martin 2014 CPIC. HLA-B*57:01 + abacavir = severe hypersensitivity; contraindicated. Pre-prescription HLA-B*57:01 screening is standard of care.
PGX-0030,methodology_reference_only,framework_reference,meta,framework_reference,not applicable — framework reference row,framework_reference_only,0.0,0.0,21412232,,1,framework,active,2026-04-30,Swen 2011 DPWG — Dutch Pharmacogenetics Working Group guidelines. Reference row for the alternative-to-CPIC framework. Engine prefers CPIC where both exist; DPWG used for drugs not yet covered by CPIC.
PGX-0031,atomoxetine,snri_norepinephrine_reuptake_inhibitor,CYP2D6,poor_metabolizer,0 functional alleles,dose_reduce_or_use_with_caution,0.0,0.4,15910008,,1,atomoxetine commonly prescribed for ADHD comorbid with autism; CYP2D6 PM 10-fold higher exposure,active,2026-04-30,[H-9 audit fix] Sauer 2005 Clin Pharmacokinet (PMID 15910008) — atomoxetine clinical pharmacokinetics review. CYP2D6 PMs have ~10x higher AUC vs extensive metabolizers; FDA labeling notes higher AE rates. Reduce dose or use with caution per CPIC-supplementary guidance (no formal CPIC atomoxetine guideline at time of writing).
PGX-0032,atomoxetine,snri_norepinephrine_reuptake_inhibitor,CYP2D6,ultrarapid_metabolizer,≥3 functional alleles or duplications,dose_increase_or_alternative,-0.3,0.0,15910008,,1,same,active,2026-04-30,[H-9 audit fix] Sauer 2005. CYP2D6 UMs may need higher doses or experience reduced efficacy.
PGX-0033,methylphenidate,stimulant,CES1,rs71647871_carrier_decreased_function,CES1 G143E (rs71647871) heterozygous or homozygous,dose_reduce_or_monitor_for_AE,0.0,0.45,36741090,,1,methylphenidate commonly prescribed for ADHD in autism comorbidity; CES1 hydrolyzes methylphenidate,active,2026-04-30,[H-9 audit fix] Brown 2022 Front Pediatr (PMID 36741090) — CES1 variant rs71647871 G143E associates with elevated methylphenidate plasma levels and increased AE in pediatric ADHD. Carboxylesterase-1 hydrolyzes methylphenidate; decreased function = higher exposure. PGx testing emerging in pediatric ADHD.
PGX-0034,risperidone,antipsychotic,CYP2D6,poor_metabolizer,0 functional alleles,dose_reduce_with_AE_monitoring,0.0,0.45,33054667,,1,"risperidone FDA-approved for autism irritability; CYP2D6 PM raises EPS, prolactin, sedation risk",active,2026-04-30,"[H-9 audit fix] de Leon 2020 Pharmacogenomics (PMID 33054667) — 25-year reflection on CYP2D6 + risperidone. CYP2D6 PMs accumulate parent risperidone (active); EPS, hyperprolactinemia, weight gain risk increased. Dose reduction or alternative antipsychotic appropriate."
PGX-0035,risperidone,antipsychotic,CYP2D6,ultrarapid_metabolizer,≥3 functional alleles,monitor_for_subtherapeutic_response,-0.3,0.0,32519344,,1,same as PGX-0034,active,2026-04-30,[H-9 audit fix] Zhang 2020 Pharmacotherapy (PMID 32519344) — systematic review of CYP2D6 + risperidone PK. UMs have lower steady-state risperidone; subtherapeutic risk.
PGX-0036,aripiprazole,antipsychotic,CYP2D6,poor_metabolizer,0 functional alleles,dose_reduce_50pct_per_FDA_label,0.0,0.4,33054667,,1,aripiprazole FDA-approved for autism irritability; CYP2D6 PM dose-reduction explicitly in FDA label,active,2026-04-30,[H-9 audit fix] FDA aripiprazole label specifies CYP2D6 PM dose reduction. de Leon 2020 (PMID 33054667) reviews antipsychotic-CYP2D6 PGx including aripiprazole. Aripiprazole is largely CYP2D6 + CYP3A4 metabolized; PM accumulates parent drug.
PGX-0037,amphetamine_dextroamphetamine,stimulant,CYP2D6,poor_metabolizer,0 functional alleles,monitor_for_AE,0.0,0.2,27253829,,1,amphetamine prescribed for ADHD comorbid with autism,active,2026-04-30,[H-9 audit fix] Schmid 2016 Pharmacogenet Genomics (PMID 27253829) — CYP2D6 function moderates MDMA pharmacokinetics; mechanism extends to amphetamine class via CYP2D6-mediated p-hydroxylation. Effect smaller than for methylphenidate (CES1 dominant) or atomoxetine (CYP2D6 dominant). Monitor for AE.
