id,node_type,node_id,alias,source,created_at
ALS-000031,gene,GEN-0012,ENSG00000154263,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000032,gene,GEN-0013,ABCA13,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000033,gene,GEN-0013,ENSG00000179869,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000034,gene,GEN-0014,ABCA2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000035,gene,GEN-0014,ENSG00000107331,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000036,gene,GEN-0015,ABCA7,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000037,gene,GEN-0015,ENSG00000064687,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000038,gene,GEN-0016,ABCE1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000039,gene,GEN-0016,ENSG00000164163,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000040,gene,GEN-0017,ABL2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000041,gene,GEN-0017,ENSG00000143322,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000042,gene,GEN-0018,ACAP2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000043,gene,GEN-0018,ENSG00000114331,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000044,gene,GEN-0019,ACE,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000045,gene,GEN-0019,ENSG00000159640,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000046,gene,GEN-0020,ACHE,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000047,gene,GEN-0020,ENSG00000087085,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000048,gene,GEN-0021,ACTB,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000049,gene,GEN-0021,ENSG00000075624,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000050,gene,GEN-0022,ACTL6B,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000051,gene,GEN-0022,ENSG00000077080,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000052,gene,GEN-0023,ACTN4,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000053,gene,GEN-0023,ENSG00000130402,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000054,gene,GEN-0024,ACY1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000055,gene,GEN-0024,ENSG00000243989,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000056,gene,GEN-0025,ADA,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000057,gene,GEN-0025,ENSG00000196839,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000058,gene,GEN-0026,ADCY1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000059,gene,GEN-0026,ENSG00000164742,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000060,gene,GEN-0027,ADCY3,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000061,gene,GEN-0027,ENSG00000138031,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000062,gene,GEN-0028,ADCY5,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000063,gene,GEN-0028,ENSG00000173175,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000064,gene,GEN-0029,ADGRB1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000065,gene,GEN-0029,ENSG00000181790,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000066,gene,GEN-0030,ADGRL1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000067,gene,GEN-0030,ENSG00000072071,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000068,gene,GEN-0031,ADK,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000069,gene,GEN-0031,ENSG00000156110,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000070,gene,GEN-0032,ADNP,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000071,gene,GEN-0032,ENSG00000101126,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000072,gene,GEN-0033,ADORA3,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000073,gene,GEN-0033,ENSG00000282608,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000074,gene,GEN-0034,ADSL,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000075,gene,GEN-0034,ENSG00000239900,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000076,gene,GEN-0035,ADSS2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000077,gene,GEN-0035,ENSG00000035687,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000078,gene,GEN-0036,AFF2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000079,gene,GEN-0036,ENSG00000155966,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000080,gene,GEN-0037,AGAP1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000081,gene,GEN-0037,ENSG00000157985,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000082,gene,GEN-0038,AGAP2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000083,gene,GEN-0038,ENSG00000135439,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000084,gene,GEN-0039,AGAP5,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000085,gene,GEN-0039,ENSG00000172650,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000086,gene,GEN-0040,AGBL4,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000087,gene,GEN-0040,ENSG00000186094,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000088,gene,GEN-0041,AGMO,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000089,gene,GEN-0041,ENSG00000187546,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000090,gene,GEN-0042,AGO1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000091,gene,GEN-0042,ENSG00000092847,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000092,gene,GEN-0043,AGO2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000093,gene,GEN-0043,ENSG00000123908,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000094,gene,GEN-0044,AGO3,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000095,gene,GEN-0044,ENSG00000126070,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000096,gene,GEN-0045,AGO4,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000097,gene,GEN-0045,ENSG00000134698,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000098,gene,GEN-0046,AGTR2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000099,gene,GEN-0046,ENSG00000180772,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000100,gene,GEN-0047,AHDC1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000101,gene,GEN-0047,ENSG00000126705,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000102,gene,GEN-0048,AHI1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000103,gene,GEN-0048,ENSG00000135541,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000104,gene,GEN-0049,AHNAK,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000105,gene,GEN-0049,ENSG00000124942,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000106,gene,GEN-0050,AKAP9,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000107,gene,GEN-0050,ENSG00000127914,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000108,gene,GEN-0051,ALDH1A3,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000109,gene,GEN-0051,ENSG00000184254,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000110,gene,GEN-0052,ALDH1L1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000111,gene,GEN-0052,ENSG00000144908,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000112,gene,GEN-0053,ALDH5A1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000113,gene,GEN-0053,ENSG00000112294,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000114,gene,GEN-0054,ALG6,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000115,gene,GEN-0054,ENSG00000088035,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000116,gene,GEN-0055,AMPD1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000117,gene,GEN-0055,ENSG00000116748,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000118,gene,GEN-0056,AMT,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000119,gene,GEN-0056,ENSG00000145020,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000120,gene,GEN-0057,ANK2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000121,gene,GEN-0057,ENSG00000145362,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000122,gene,GEN-0058,ANK3,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000123,gene,GEN-0058,ENSG00000151150,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000124,gene,GEN-0059,ANKRD11,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000125,gene,GEN-0059,ENSG00000167522,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000126,gene,GEN-0060,ADORA2A,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000127,gene,GEN-0060,ENSG00000128271,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000128,gene,GEN-0061,ANKRD17,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000129,gene,GEN-0061,ENSG00000132466,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000130,gene,GEN-0062,ANKS1B,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000131,gene,GEN-0062,ENSG00000185046,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000132,gene,GEN-0063,ANP32A,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000133,gene,GEN-0063,ENSG00000140350,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000134,gene,GEN-0064,ANXA1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000135,gene,GEN-0064,ENSG00000135046,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000136,gene,GEN-0065,AP1S2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000137,gene,GEN-0065,ENSG00000182287,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000138,gene,GEN-0066,AP2M1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000139,gene,GEN-0066,ENSG00000161203,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000140,gene,GEN-0067,AP2S1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000141,gene,GEN-0067,ENSG00000042753,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000142,gene,GEN-0068,APBA2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000143,gene,GEN-0068,ENSG00000034053,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000144,gene,GEN-0069,ADRB2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000145,gene,GEN-0069,ENSG00000169252,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000146,gene,GEN-0070,APBB1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000147,gene,GEN-0070,ENSG00000166313,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000148,gene,GEN-0071,APH1A,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000149,gene,GEN-0071,ENSG00000117362,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000150,gene,GEN-0072,AR,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000151,gene,GEN-0072,ENSG00000169083,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000152,gene,GEN-0073,ARF3,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000153,gene,GEN-0073,ENSG00000134287,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000154,gene,GEN-0074,ARHGAP11B,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000155,gene,GEN-0074,ENSG00000285077,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000156,gene,GEN-0075,ARHGAP30,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000157,gene,GEN-0075,ENSG00000186517,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000158,gene,GEN-0076,ARHGAP32,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000159,gene,GEN-0076,ENSG00000134909,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000160,gene,GEN-0077,ARHGAP5,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000161,gene,GEN-0077,ENSG00000100852,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000162,gene,GEN-0078,ARHGEF10,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000163,gene,GEN-0078,ENSG00000104728,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000164,gene,GEN-0079,ARHGEF2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000165,gene,GEN-0079,ENSG00000116584,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000166,gene,GEN-0080,ARHGEF9,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000167,gene,GEN-0080,ENSG00000131089,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000168,gene,GEN-0081,ARID1A,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000169,gene,GEN-0081,ENSG00000117713,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000170,gene,GEN-0082,ARID1B,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000171,gene,GEN-0082,ENSG00000049618,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000172,gene,GEN-0083,ARID2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000173,gene,GEN-0083,ENSG00000189079,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000174,gene,GEN-0084,ARNT2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000175,gene,GEN-0084,ENSG00000172379,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000176,gene,GEN-0085,ARX,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000177,gene,GEN-0085,ENSG00000004848,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000178,gene,GEN-0086,ASAP2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000179,gene,GEN-0086,ENSG00000151693,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000180,gene,GEN-0087,ASB11,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000181,gene,GEN-0087,ENSG00000165192,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000182,gene,GEN-0088,ASB14,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000183,gene,GEN-0088,ENSG00000239388,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000184,gene,GEN-0089,ASH1L,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000185,gene,GEN-0089,ENSG00000116539,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000186,gene,GEN-0090,ASMT,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000187,gene,GEN-0090,ENSG00000196433,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000188,gene,GEN-0091,ASPM,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000189,gene,GEN-0091,ENSG00000066279,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000190,gene,GEN-0092,ASTN2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000191,gene,GEN-0092,ENSG00000148219,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000192,gene,GEN-0093,ASXL3,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000193,gene,GEN-0093,ENSG00000141431,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000194,gene,GEN-0094,ATP10A,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000195,gene,GEN-0094,ENSG00000206190,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000196,gene,GEN-0095,ATP1A1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000197,gene,GEN-0095,ENSG00000163399,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000198,gene,GEN-0096,ATP1A3,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000199,gene,GEN-0096,ENSG00000105409,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000200,gene,GEN-0097,ATP2B1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000201,gene,GEN-0097,ENSG00000070961,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000202,gene,GEN-0098,ATP2B2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000203,gene,GEN-0098,ENSG00000157087,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000204,gene,GEN-0099,ATP6V0A2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000205,gene,GEN-0099,ENSG00000185344,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000206,gene,GEN-0100,ATP9A,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000207,gene,GEN-0100,ENSG00000054793,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000208,gene,GEN-0101,ATRX,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000209,gene,GEN-0101,ENSG00000085224,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000210,gene,GEN-0102,ATXN2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000211,gene,GEN-0102,ENSG00000204842,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000212,gene,GEN-0103,AUTS2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000213,gene,GEN-0103,ENSG00000158321,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000214,gene,GEN-0104,AVPR1A,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000215,gene,GEN-0104,ENSG00000166148,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000216,gene,GEN-0105,AZGP1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000217,gene,GEN-0105,ENSG00000160862,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000218,gene,GEN-0106,BACE1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000219,gene,GEN-0106,ENSG00000186318,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000220,gene,GEN-0107,BAIAP2L1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000221,gene,GEN-0107,ENSG00000006453,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000222,gene,GEN-0108,BAZ2B,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000223,gene,GEN-0108,ENSG00000123636,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000224,gene,GEN-0109,BBS4,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000225,gene,GEN-0109,ENSG00000140463,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000226,gene,GEN-0110,BCAS1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000227,gene,GEN-0110,ENSG00000064787,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000228,gene,GEN-0111,BCKDK,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000229,gene,GEN-0111,ENSG00000103507,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000230,gene,GEN-0112,BCL11A,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000231,gene,GEN-0112,ENSG00000119866,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000232,gene,GEN-0113,BCL11B,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000233,gene,GEN-0113,ENSG00000127152,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000234,gene,GEN-0114,BCORL1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000235,gene,GEN-0114,ENSG00000085185,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000236,gene,GEN-0115,BICRA,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000237,gene,GEN-0115,ENSG00000063169,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000238,gene,GEN-0116,BIRC6,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000239,gene,GEN-0116,ENSG00000115760,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000240,gene,GEN-0117,BRAF,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000241,gene,GEN-0117,ENSG00000157764,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000242,gene,GEN-0118,BRCA2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000243,gene,GEN-0118,ENSG00000139618,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000244,gene,GEN-0119,BRD4,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000245,gene,GEN-0119,ENSG00000141867,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000246,gene,GEN-0120,BRINP3,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000247,gene,GEN-0120,ENSG00000162670,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000248,gene,GEN-0121,BRSK2,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000249,gene,GEN-0121,ENSG00000174672,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000250,gene,GEN-0122,BRWD3,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000251,gene,GEN-0122,ENSG00000165288,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000252,gene,GEN-0123,BSN,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000253,gene,GEN-0123,ENSG00000164061,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000254,gene,GEN-0124,BST1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000255,gene,GEN-0124,ENSG00000109743,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000256,gene,GEN-0125,BTAF1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000257,gene,GEN-0125,ENSG00000095564,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000258,gene,GEN-0126,BTRC,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000259,gene,GEN-0126,ENSG00000166167,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000260,gene,GEN-0127,C12orf57,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000261,gene,GEN-0127,ENSG00000111678,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000262,gene,GEN-0128,C15orf62,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000263,gene,GEN-0128,ENSG00000188277,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000264,gene,GEN-0129,C4B,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000265,gene,GEN-0129,ENSG00000224389,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000266,gene,GEN-0130,CA6,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000267,gene,GEN-0130,ENSG00000131686,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000268,gene,GEN-0131,CACNA1A,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000269,gene,GEN-0131,ENSG00000141837,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000270,gene,GEN-0132,ASB9,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000271,gene,GEN-0132,ENSG00000102048,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000272,gene,GEN-0133,AVPR1B,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000273,gene,GEN-0133,ENSG00000198049,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000274,gene,GEN-0134,BICDL1,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000275,gene,GEN-0134,ENSG00000135127,legacy_v0.1,2026-04-24T17:07:31+00:00
ALS-000276,gene,GEN-0135,CACNA1B,legacy_v0.1,2026-04-24T17:07:31+00:00
