id,biomarker_id,intervention_id,relationship_type,direction,evidence_strength,created_at,notes
BIE-00032,BIO-0054,INT-0006,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,IL-6 (interleukin-6) predicts response to INT-0006
BIE-00033,BIO-0055,INT-0102,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,TNF-α (tumor necrosis factor alpha) predicts response to INT-0102
BIE-00034,BIO-0055,INT-0006,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,TNF-α (tumor necrosis factor alpha) predicts response to INT-0006
BIE-00035,BIO-0067,INT-0006,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,Anti-tubulin antibody (Cunningham Panel) predicts response to INT-0006
BIE-00036,BIO-0089,INT-0008,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,Maternal MTHFR genotype predicts response to INT-0008
BIE-00037,BIO-0119,INT-0061,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,Oxytocin predicts response to INT-0061
BIE-00038,BIO-0121,INT-0037,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,Insulin / HOMA-IR predicts response to INT-0037
BIE-00039,BIO-0131,INT-0076,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,C. difficile toxin (stool) predicts response to INT-0076
BIE-00040,BIO-0161,INT-0008,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,MTHFR C677T genotype predicts response to INT-0008
BIE-00041,BIO-0170,INT-0036,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,CYP3A4 / CYP3A5 genotype predicts response to INT-0036
BIE-00042,BIO-0178,INT-0076,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,Comprehensive Stool Analysis (GI-MAP / CDSA composite) predicts response to INT-0076
BIE-00043,BIO-0178,INT-0025,predicts_response,normalize,0.50,2026-04-30T02:06:58+00:00,Comprehensive Stool Analysis (GI-MAP / CDSA composite) predicts response to INT-0025
